0;1;2;3;4;5;6;7;8;9;10
id;namesurname;email;age;year;month;day;location;store;hostess;date_create
1;"Edwin Mertz";wquigley@yahoo.com;1979;1979;04;27;"East Conner";"Store Ned Fadel";hostess;"2017-03-20 17:20:39"
2;"Gregorio Stroman";wyman85@fritsch.info;2014;2014;12;09;"East Conner";"Store Ned Fadel";hostess;"2017-03-20 17:20:39"
3;"Elbert Prosacco";laurianne50@buckridge.com;2006;2006;07;06;"East Conner";"Store Ned Fadel";hostess;"2017-03-20 17:20:39"
4;"Ricky Ankunding";camron20@murphy.info;1997;1997;12;31;"East Conner";"Store Ned Fadel";hostess;"2017-03-20 17:20:39"
5;"Chet Pagac";pagac.delphia@damore.net;2007;2007;12;24;"East Conner";"Store Ned Fadel";hostess;"2017-03-20 17:20:39"
6;"Fanny Douglas";ktorp@hotmail.com;1988;1988;06;12;"East Conner";"Store Ned Fadel";hostess;"2017-03-20 17:20:39"
7;"Scot Stanton";hickle.tyrel@yahoo.com;2002;2002;03;17;"East Conner";"Store Ned Fadel";hostess;"2017-03-20 17:20:39"
8;"Carolyne McDermott";retta34@gmail.com;1977;1977;09;22;"East Conner";"Store Ned Fadel";hostess;"2017-03-20 17:20:39"
9;"Marcellus Waters";esteban.rohan@erdman.com;2011;2011;12;28;"East Conner";"Store Ned Fadel";hostess;"2017-03-20 17:20:39"
10;"Fred Ruecker";greta.champlin@toy.com;1981;1981;01;09;"East Conner";"Store Ned Fadel";hostess;"2017-03-20 17:20:39"
11;"Shanel Nitzsche";price.bogisich@yahoo.com;2014;2014;05;07;"East Conner";"Store Ned Fadel";hostess;"2017-03-20 17:20:39"
12;"Harvey Runolfsson";mandy32@wilkinson.org;2006;2006;08;13;"East Conner";"Store Ned Fadel";hostess;"2017-03-20 17:20:39"
13;"Hiram Macejkovic";johnny.koelpin@reichel.net;1992;1992;12;20;"East Conner";"Store Ned Fadel";hostess;"2017-03-20 17:20:40"
14;"Adrien Carter";jacobson.kaela@hotmail.com;1988;1988;05;13;"East Conner";"Store Ned Fadel";hostess;"2017-03-20 17:20:40"
15;"Bonita Vandervort";rswift@gmail.com;2001;2001;03;27;"East Conner";"Store Ned Fadel";hostess;"2017-03-20 17:20:40"
16;"Vincent Conroy";blick.bennie@barton.com;1979;1979;06;30;"East Conner";"Store Ned Fadel";hostess;"2017-03-20 17:20:40"
17;"Dock Hansen";bennett.fahey@kassulke.com;2007;2007;08;06;"East Conner";"Store Ned Fadel";hostess;"2017-03-20 17:20:40"
18;"Arnoldo Lebsack";urutherford@stracke.com;1999;1999;04;07;"East Conner";"Store Ned Fadel";hostess;"2017-03-20 17:20:40"
19;"Raphael Lind";iwalker@hotmail.com;1985;1985;05;31;"East Conner";"Store Ned Fadel";hostess;"2017-03-20 17:20:40"
20;"Kaitlyn Connelly";sylvia19@yahoo.com;1991;1991;08;17;"East Conner";"Store Ned Fadel";hostess;"2017-03-20 17:20:40"
21;"Sandy Robel";iemmerich@hotmail.com;1970;1970;11;04;"East Conner";"Store Ned Fadel";hostess;"2017-03-20 17:20:40"
22;"Luna Will";lizzie06@hotmail.com;1975;1975;03;28;"East Conner";"Store Ned Fadel";hostess;"2017-03-20 17:20:40"
23;"Jena Murray";blair.funk@leffler.com;2014;2014;05;10;"East Conner";"Store Ned Fadel";hostess;"2017-03-20 17:20:40"
24;"Jerrold Walsh";beier.saige@smitham.biz;2002;2002;07;16;"East Conner";"Store Ned Fadel";hostess;"2017-03-20 17:20:40"
25;"Simone Lockman";mshields@gmail.com;2013;2013;07;20;"East Conner";"Store Ned Fadel";hostess;"2017-03-20 17:20:40"
26;"Nora Tremblay";nwaters@hotmail.com;1979;1979;07;14;"East Conner";"Store Ned Fadel";hostess;"2017-03-20 17:20:40"
27;"Kayli Fadel";melody77@goyette.com;1993;1993;07;13;"East Conner";"Store Ned Fadel";hostess;"2017-03-20 17:20:40"
28;"Alvis Pollich";goldner.mara@orn.com;2009;2009;05;06;"East Conner";"Store Ned Fadel";hostess;"2017-03-20 17:20:40"
29;"Tracy McDermott";mwalker@yahoo.com;1977;1977;06;31;"East Conner";"Store Ned Fadel";hostess;"2017-03-20 17:20:40"
30;"Amir Hayes";glover.shania@dubuque.biz;1996;1996;09;03;"East Conner";"Store Ned Fadel";hostess;"2017-03-20 17:20:40"
31;"Rafaela Beahan";jfahey@gmail.com;2014;2014;01;25;"East Conner";"Store Ned Fadel";hostess;"2017-03-20 17:20:40"
32;"Kristin Abernathy";ohowell@gmail.com;1985;1985;06;01;"East Conner";"Store Ned Fadel";hostess;"2017-03-20 17:20:40"
33;"Reginald Murray";schneider.fiona@yahoo.com;1999;1999;01;12;"East Conner";"Store Ned Fadel";hostess;"2017-03-20 17:20:40"
34;"Joelle Romaguera";jerde.jeremie@hotmail.com;2003;2003;12;21;"East Conner";"Store Ned Fadel";hostess;"2017-03-20 17:20:40"
35;"Conrad Kuhic";vhand@ziemann.com;1970;1970;09;15;"East Conner";"Store Ned Fadel";hostess;"2017-03-20 17:20:40"
36;"Princess Volkman";ray30@hotmail.com;1973;1973;10;10;"East Conner";"Store Ned Fadel";hostess;"2017-03-20 17:20:40"
37;"Lowell Schuppe";avolkman@runolfsdottir.com;1975;1975;08;31;"East Conner";"Store Ned Fadel";hostess;"2017-03-20 17:20:40"
